name	len	score	pvalue
TRINITY_DN179_c0_g1_i43 len=4240 path=[2:0-44 3:45-159 4:160-317 7:318-458 9:459-814 11:815-1350 12:1351-1502 15:1503-1615 17:1616-1618 18:1619-1712 19:1713-1825 20:1826-2238 23:2239-2676 25:2677-2778 27:2779-3211 30:3212-3516 32:3517-4239]	4240	0.2609526813030243	0.12922048493088603
TRINITY_DN179_c0_g1_i205 len=4344 path=[2:0-44 3:45-159 4:160-317 7:318-458 9:459-814 11:815-1350 12:1351-1502 15:1503-1615 16:1616-1773 17:1774-1776 19:1777-1889 20:1890-2302 23:2303-2740 25:2741-2842 27:2843-3275 30:3276-3580 31:3581-3991 33:3992-4056 34:4057-4343]	4344	0.3300791084766388	0.11247073041770526
TRINITY_DN179_c0_g1_i4 len=4304 path=[2:0-44 3:45-159 4:160-317 7:318-458 9:459-814 11:815-1350 12:1351-1502 15:1503-1615 16:1616-1773 17:1774-1776 19:1777-1889 20:1890-2302 23:2303-2740 25:2741-2842 27:2843-3275 30:3276-3580 32:3581-4303]	4304	0.27471327781677246	0.12606692348364681
TRINITY_DN179_c0_g1_i100 len=4459 path=[0:0-159 3:160-274 4:275-432 7:433-573 9:574-929 11:930-1465 12:1466-1617 15:1618-1730 16:1731-1888 17:1889-1891 19:1892-2004 20:2005-2417 23:2418-2855 25:2856-2957 27:2958-3390 30:3391-3695 31:3696-4106 33:4107-4171 34:4172-4458]	4459	0.34743449091911316	0.1083163380920009
TRINITY_DN179_c0_g1_i146 len=448 path=[1:0-81 29:82-142 30:143-447]	448	0.40353357791900635	0.20317220543806647
TRINITY_DN179_c0_g1_i15 len=4394 path=[0:0-159 3:160-274 4:275-432 7:433-573 9:574-929 11:930-1465 12:1466-1617 15:1618-1730 16:1731-1888 17:1889-1891 19:1892-2004 20:2005-2417 23:2418-2855 25:2856-2957 27:2958-3390 30:3391-3695 31:3696-4106 34:4107-4393]	4394	0.3261311650276184	0.11343379409320946
TRINITY_DN179_c0_g1_i171 len=4472 path=[0:0-159 3:160-274 4:275-432 6:433-509 7:510-650 9:651-1006 11:1007-1542 12:1543-1694 15:1695-1807 17:1808-1810 18:1811-1904 19:1905-2017 20:2018-2430 23:2431-2868 25:2869-2970 27:2971-3403 30:3404-3708 31:3709-4119 33:4120-4184 34:4185-4471]	4472	0.3218897581100464	0.11411360374650653
TRINITY_DN179_c0_g1_i136 len=4235 path=[3:0-114 4:115-272 7:273-413 9:414-769 11:770-1305 12:1306-1457 15:1458-1570 17:1571-1573 18:1574-1667 19:1668-1780 20:1781-2193 23:2194-2631 25:2632-2733 27:2734-3166 30:3167-3471 31:3472-3882 33:3883-3947 34:3948-4234]	4235	0.3229304552078247	0.11398141853614321
TRINITY_DN179_c0_g1_i131 len=3798 path=[3:0-114 4:115-272 7:273-413 9:414-769 11:770-1305 12:1306-1457 14:1458-1625 15:1626-1738 16:1739-1896 17:1897-1899 18:1900-1993 19:1994-2106 20:2107-2519 23:2520-2957 25:2958-3059 27:3060-3492 30:3493-3797]	3798	0.27440524101257324	0.1261424578895687
TRINITY_DN179_c0_g1_i59 len=3703 path=[2:0-44 3:45-159 4:160-317 7:318-458 9:459-814 11:815-1350 12:1351-1502 15:1503-1615 16:1616-1773 17:1774-1776 19:1777-1889 20:1890-2302 23:2303-2740 25:2741-2842 26:2843-2902 27:2903-3335 28:3336-3336 29:3337-3397 30:3398-3702]	3703	0.29146939516067505	0.12164816073721581
